18:49:51 | TradingSystem | INFO | 🔬 141080 (종목141080) 분석 시작...
18:50:00 | TradingSystem | INFO | ✅ 141080 분석 완료 - 점수: 58.4, 추천: WEAK_BUY
18:50:00 | TradingSystem | INFO | 🎯 141080 분석 완료: 점수 58.38108108108108, 추천 WEAK_BUY
18:50:00 | TradingSystem | INFO | ❌ 141080 점수 부족: 58.38108108108108 < 60
18:50:00 | TradingSystem | INFO | 🔬 180640 (종목180640) 분석 시작...
18:50:09 | TradingSystem | INFO | ✅ 180640 분석 완료 - 점수: 68.3, 추천: BUY
18:50:09 | TradingSystem | INFO | 🎯 180640 분석 완료: 점수 68.28092391304347, 추천 BUY
18:50:09 | TradingSystem | INFO | ✅ 180640 신호 추가됨
18:50:09 | TradingSystem | INFO | 🔬 011780 (종목011780) 분석 시작...
18:50:18 | TradingSystem | INFO | ✅ 011780 분석 완료 - 점수: 75.9, 추천: BUY
18:50:18 | TradingSystem | INFO | 🎯 011780 분석 완료: 점수 75.93857142857142, 추천 BUY
18:50:18 | TradingSystem | INFO | ✅ 011780 신호 추가됨
18:50:18 | TradingSystem | INFO | 🔬 001720 (종목001720) 분석 시작...
18:50:27 | TradingSystem | INFO | ✅ 001720 분석 완료 - 점수: 61.2, 추천: WEAK_BUY
18:50:27 | TradingSystem | INFO | 🎯 001720 분석 완료: 점수 61.2240350877193, 추천 WEAK_BUY
18:50:27 | TradingSystem | INFO | ✅ 001720 신호 추가됨
18:50:27 | TradingSystem | INFO | 🔬 271560 (종목271560) 분석 시작...
18:50:36 | TradingSystem | INFO | ✅ 271560 분석 완료 - 점수: 59.6, 추천: WEAK_BUY
18:50:36 | TradingSystem | INFO | 🎯 271560 분석 완료: 점수 59.644999999999996, 추천 WEAK_BUY
18:50:36 | TradingSystem | INFO | ❌ 271560 점수 부족: 59.644999999999996 < 60
18:50:36 | TradingSystem | INFO | 🔬 096770 (종목096770) 분석 시작...
18:50:44 | TradingSystem | INFO | ✅ 096770 분석 완료 - 점수: 53.6, 추천: HOLD
18:50:44 | TradingSystem | INFO | 🎯 096770 분석 완료: 점수 53.6436690647482, 추천 HOLD
18:50:44 | TradingSystem | INFO | ❌ 096770 점수 부족: 53.6436690647482 < 60
18:50:44 | TradingSystem | INFO | 🔬 138040 (종목138040) 분석 시작...
18:50:52 | TradingSystem | INFO | ✅ 138040 분석 완료 - 점수: 54.1, 추천: HOLD
18:50:52 | TradingSystem | INFO | 🎯 138040 분석 완료: 점수 54.08041899441341, 추천 HOLD
18:50:52 | TradingSystem | INFO | ❌ 138040 점수 부족: 54.08041899441341 < 60
18:50:52 | TradingSystem | INFO | 🔬 064760 (종목064760) 분석 시작...
18:51:01 | TradingSystem | INFO | ✅ 064760 분석 완료 - 점수: 56.9, 추천: WEAK_BUY
18:51:01 | TradingSystem | INFO | 🎯 064760 분석 완료: 점수 56.904364640883976, 추천 WEAK_BUY
18:51:01 | TradingSystem | INFO | ❌ 064760 점수 부족: 56.904364640883976 < 60
18:51:01 | TradingSystem | INFO | 🔬 052690 (종목052690) 분석 시작...
18:51:10 | TradingSystem | INFO | ✅ 052690 분석 완료 - 점수: 48.5, 추천: HOLD
18:51:10 | TradingSystem | INFO | 🎯 052690 분석 완료: 점수 48.4524427480916, 추천 HOLD
18:51:10 | TradingSystem | INFO | ❌ 052690 점수 부족: 48.4524427480916 < 60
18:51:10 | TradingSystem | INFO | 🔬 067160 (종목067160) 분석 시작...
18:51:19 | TradingSystem | INFO | ✅ 067160 분석 완료 - 점수: 52.2, 추천: HOLD
18:51:19 | TradingSystem | INFO | 🎯 067160 분석 완료: 점수 52.178717948717946, 추천 HOLD
18:51:19 | TradingSystem | INFO | ❌ 067160 점수 부족: 52.178717948717946 < 60
18:51:19 | TradingSystem | INFO | 🔬 003550 (종목003550) 분석 시작...
18:51:28 | TradingSystem | INFO | ✅ 003550 분석 완료 - 점수: 68.4, 추천: BUY
18:51:28 | TradingSystem | INFO | 🎯 003550 분석 완료: 점수 68.3612962962963, 추천 BUY
18:51:28 | TradingSystem | INFO | ✅ 003550 신호 추가됨
18:51:28 | TradingSystem | INFO | 🔬 069960 (종목069960) 분석 시작...
18:51:37 | TradingSystem | INFO | ✅ 069960 분석 완료 - 점수: 70.5, 추천: BUY
18:51:37 | TradingSystem | INFO | 🎯 069960 분석 완료: 점수 70.523, 추천 BUY
18:51:37 | TradingSystem | INFO | ✅ 069960 신호 추가됨
18:51:37 | TradingSystem | INFO | 🔬 035900 (종목035900) 분석 시작...
