2025-07-05 10:52:53 | TradingSystem | ERROR    | analyze_symbol  | ❌ 064350 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
2025-07-05 10:52:57 | TradingSystem | ERROR    | analyze_symbol  | ❌ 402340 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
2025-07-05 10:53:02 | TradingSystem | ERROR    | analyze_symbol  | ❌ 028260 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
2025-07-05 10:53:06 | TradingSystem | ERROR    | analyze_symbol  | ❌ 005387 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
2025-07-05 10:53:11 | TradingSystem | ERROR    | analyze_symbol  | ❌ 051915 전체 분석 실패: 'TradingSystem' object has no attribute 'safe_get_attr'
2025-07-05 11:00:49 | TradingSystem | ERROR    | run_market_analysis | ❌ 시장 분석 실패: 'TradingSystem' object has no attribute '_send_analysis_notification'
2025-07-05 11:09:46 | TradingSystem | ERROR    | run_market_analysis | ❌ 시장 분석 실패: 'TradingSystem' object has no attribute '_send_analysis_notification'
2025-07-05 17:31:08 | TradingSystem | ERROR    | initialize_components | ❌ 컴포넌트 초기화 실패: name 'get_logger' is not defined
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
2025-07-05 18:31:10 | SmartKISCollector | ERROR    | request_new_token | ❌ 토큰 발급 실패: 'NoneType' object has no attribute 'post'
