2025-07-05 08:15:39 | KISCollector | INFO     | _get_stock_list_pykrx | 📅 조회 기준일: 20250705
2025-07-05 08:15:39 | KISCollector | INFO     | _get_stock_list_pykrx | 📊 pykrx - KOSPI 종목 조회 중...
2025-07-05 08:15:39 | KISCollector | INFO     | _get_stock_list_pykrx | ✅ pykrx - KOSPI 종목 962개 조회 완료
2025-07-05 08:15:39 | KISCollector | INFO     | _get_stock_list_pykrx | 📊 pykrx - KOSDAQ 종목 조회 중...
2025-07-05 08:15:40 | KISCollector | INFO     | _get_stock_list_pykrx | ✅ pykrx - KOSDAQ 종목 1798개 조회 완료
2025-07-05 08:15:40 | KISCollector | INFO     | _get_stock_list_pykrx | 📊 pykrx - 총 2760개 종목 조회 완료
2025-07-05 08:15:40 | KISCollector | INFO     | get_stock_list  | ✅ pykrx로 2760개 종목 조회 성공!
2025-07-05 08:15:40 | KISCollector | INFO     | get_filtered_stocks | 📊 전체 종목 수: 2760개
2025-07-05 08:15:40 | KISCollector | INFO     | get_filtered_stocks | 🎯 샘플링: 300개 종목 검사
2025-07-05 08:15:40 | KISCollector | ERROR    | get_filtered_stocks | ❌ 종목 필터링 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 08:15:40 | TradingSystem | ERROR    | run_market_analysis | ❌ 시장 분석 실패: '>=' not supported between instances of 'int' and 'NoneType'
2025-07-05 08:16:11 | KISCollector | INFO     | close           | ✅ KIS API 연결 종료
2025-07-05 08:16:11 | TradingSystem | INFO     | cleanup         | ✅ 리소스 정리 완료
2025-07-05 08:16:27 | DatabaseManager | INFO     | _initialize_engines | ✅ 데이터베이스 엔진 초기화 완료
2025-07-05 08:16:27 | AnalysisEngine | INFO     | __init__        | ✅ 뉴스 수집기 초기화 완료
2025-07-05 08:16:27 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-05 08:16:27 | TechnicalAnalyzer | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
2025-07-05 08:16:27 | TechnicalAnalyzer | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-05 08:16:27 | AnalysisEngine | INFO     | __init__        | ✅ 향상된 기술적 분석기 초기화 완료
2025-07-05 08:16:27 | AnalysisEngine | INFO     | __init__        | ✅ 수급 분석기 초기화 완료
2025-07-05 08:16:27 | ChartPatternAnalyzer | INFO     | __init__        | ✅ 패턴 감지기 초기화 완료
2025-07-05 08:16:27 | AnalysisEngine | INFO     | __init__        | ✅ 차트패턴 분석기 초기화 완료
